Title,Gross,Budget,ReleaseDate,MPAARating,RunningTime,Distributor,Source,Genre,CreativeType,Director,RottenTomatoesRating,IMDBRating
Hannibal Rising,27669725,50000000,2/9/2007,R,121,Weinstein Co.,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Peter Webber,15,6
The Hangover,277322503,35000000,6/5/2009,R,99,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Todd Phillips,78,7.9
Holes,67383924,20000000,4/18/2003,PG,117,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Andrew Davis,77,7.1
The Holiday,63280000,85000000,12/8/2006,PG-13,131,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Nancy Meyers,47,6.9
Honey,30272254,18000000,12/5/2003,PG-13,94,Universal,Original Screenplay,Drama,Contemporary Fiction,Bille Woodruff,20,4.6
The Hours,41675994,25000000,12/27/2002,PG-13,115,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Stephen Daldry,80,7.6
Bringing Down the House,132675402,20000000,3/7/2003,PG-13,105,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Adam Shankman,34,5.4
Harry Potter and the Chamber of Secrets,261987880,100000000,11/15/2002,PG,161,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Chris Columbus,82,7.2
Harry Potter and the Prisoner of Azkaban,249538952,130000000,6/4/2004,PG,141,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Alfonso Cuaron,90,7.7
Harry Potter and the Goblet of Fire,290013036,150000000,11/18/2005,PG-13,157,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Mike Newell,88,7.6
Harry Potter and the Order of the Phoenix,292004738,150000000,7/11/2007,PG-13,138,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,David Yates,78,7.4
Harry Potter and the Half-Blood Prince,301959197,250000000,7/15/2009,PG,153,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,David Yates,83,7.3
Happy Feet,198000317,85000000,11/17/2006,PG,108,Warner Bros.,Original Screenplay,Adventure,Kids Fiction,George Miller,74,6.7
Hardball,40222729,21000000,9/14/2001,PG-13,106,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Brian Robbins,38,4.1
Hot Fuzz,23618786,16000000,4/20/2007,R,121,Focus Features,Original Screenplay,Comedy,Contemporary Fiction,Edgar Wright,91,8
Hulk,132177234,137000000,6/20/2003,PG-13,138,Universal,Based on Comic/Graphic Novel,Action,Super Hero,Ang Lee,62,5.7
The Incredible Hulk,134806913,137500000,6/13/2008,PG-13,112,Universal,Based on Comic/Graphic Novel,Adventure,Super Hero,Louis Leterrier,66,7.1
The Hunted,34234008,55000000,3/14/2003,R,94,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,William Friedkin,31,5.8
Starsky & Hutch,88200225,60000000,3/5/2004,PG-13,101,Warner Bros.,Based on TV,Comedy,Historical Fiction,Todd Phillips,64,6.2
